Dödsorsaksstatistik, Antal döda, X60-X84 Avsiktligt självdestruktiv handling (självmord), Riket, Ålder: 0-95+
År;Kön;Ålder;Antal döda
2006;Kvinnor;0­4;­­
2006;Kvinnor;5­9;­­
2006;Kvinnor;10­14;2
2006;Kvinnor;15­19;22
2006;Kvinnor;20­24;29
2006;Kvinnor;25­29;14
2006;Kvinnor;30­34;27
2006;Kvinnor;35­39;27
2006;Kvinnor;40­44;41
2006;Kvinnor;45­49;35
2006;Kvinnor;50­54;40
2006;Kvinnor;55­59;26
2006;Kvinnor;60­64;31
2006;Kvinnor;65­69;18
2006;Kvinnor;70­74;19
2006;Kvinnor;75­79;20
2006;Kvinnor;80­84;10
2006;Kvinnor;85­89;11
2006;Kvinnor;90­94;7
2006;Kvinnor;95+;­­
2005;Män;0­4;­­
2005;Män;5­9;1
2005;Män;10­14;4
2005;Män;15­19;19
2005;Män;20­24;49
2005;Män;25­29;49
2005;Män;30­34;46
2005;Män;35­39;53
2005;Män;40­44;74
2005;Män;45­49;77
2005;Män;50­54;93
2005;Män;55­59;85
2005;Män;60­64;66
2005;Män;65­69;57
2005;Män;70­74;45
2005;Män;75­79;38
2005;Män;80­84;37
2005;Män;85­89;24
2005;Män;90­94;17
2005;Män;95+;1
2005;Kvinnor;0­4;­­
2005;Kvinnor;5­9;­­
2005;Kvinnor;10­14;4
2005;Kvinnor;15­19;14
2005;Kvinnor;20­24;22
2005;Kvinnor;25­29;18
2005;Kvinnor;30­34;22
2005;Kvinnor;35­39;26
2005;Kvinnor;40­44;31
2005;Kvinnor;45­49;37
2005;Kvinnor;50­54;41
2005;Kvinnor;55­59;36
2005;Kvinnor;60­64;34
2005;Kvinnor;65­69;30
2005;Kvinnor;70­74;21
2005;Kvinnor;75­79;15
2005;Kvinnor;80­84;14
2005;Kvinnor;85­89;14
2005;Kvinnor;90­94;4
2005;Kvinnor;95+;1
2004;Män;0­4;­­
2004;Män;5­9;­­
2004;Män;10­14;3
2004;Män;15­19;28
2004;Män;20­24;62
2004;Män;25­29;36
2004;Män;30­34;47
2004;Män;35­39;63
2004;Män;40­44;73
2004;Män;45­49;71
2004;Män;50­54;93
2004;Män;55­59;79
2004;Män;60­64;72
2004;Män;65­69;47
2004;Män;70­74;50
2004;Män;75­79;38
2004;Män;80­84;28
2004;Män;85­89;29
2004;Män;90­94;13
2004;Män;95+;1
2004;Kvinnor;0­4;­­
2004;Kvinnor;5­9;­­
2004;Kvinnor;10­14;4
2004;Kvinnor;15­19;16
2004;Kvinnor;20­24;16
2004;Kvinnor;25­29;14
2004;Kvinnor;30­34;18
2004;Kvinnor;35­39;32
2004;Kvinnor;40­44;26
2004;Kvinnor;45­49;18
2004;Kvinnor;50­54;27
2004;Kvinnor;55­59;37
2004;Kvinnor;60­64;31
2004;Kvinnor;65­69;14
2004;Kvinnor;70­74;25
2004;Kvinnor;75­79;14
2004;Kvinnor;80­84;14
2004;Kvinnor;85­89;11
2004;Kvinnor;90­94;3
2004;Kvinnor;95+;1
2003;Män;0­4;­­
2003;Män;5­9;­­
2003;Män;10­14;1
2003;Män;15­19;21
2003;Män;20­24;39
2003;Män;25­29;44
2003;Män;30­34;41
2003;Män;35­39;67
2003;Män;40­44;83
2003;Män;45­49;75
2003;Män;50­54;74
2003;Män;55­59;77
2003;Män;60­64;57
2003;Män;65­69;51
2003;Män;70­74;40
2003;Män;75­79;31
2003;Män;80­84;46
2003;Män;85­89;19
2003;Män;90­94;6
2003;Män;95+;3
2003;Kvinnor;0­4;­­
2003;Kvinnor;5­9;­­
2003;Kvinnor;10­14;2
2003;Kvinnor;15­19;12
2003;Kvinnor;20­24;23
2003;Kvinnor;25­29;29
2003;Kvinnor;30­34;29
2003;Kvinnor;35­39;23
2003;Kvinnor;40­44;15
2003;Kvinnor;45­49;24
2003;Kvinnor;50­54;36
2003;Kvinnor;55­59;34
2003;Kvinnor;60­64;25
2003;Kvinnor;65­69;19
2003;Kvinnor;70­74;14
2003;Kvinnor;75­79;18
2003;Kvinnor;80­84;16
2003;Kvinnor;85­89;11
2003;Kvinnor;90­94;2
2003;Kvinnor;95+;1
2002;Män;0­4;­­
2002;Män;5­9;­­
2002;Män;10­14;4
2002;Män;15­19;25
2002;Män;20­24;53
2002;Män;25­29;41
2002;Män;30­34;60
2002;Män;35­39;71
2002;Män;40­44;70
2002;Män;45­49;79
2002;Män;50­54;95
2002;Män;55­59;81
2002;Män;60­64;71
2002;Män;65­69;49
2002;Män;70­74;51
2002;Män;75­79;45
2002;Män;80­84;42
2002;Män;85­89;16
2002;Män;90­94;9
2002;Män;95+;­­
2002;Kvinnor;0­4;­­
2002;Kvinnor;5­9;­­
2002;Kvinnor;10­14;3
2002;Kvinnor;15­19;9
2002;Kvinnor;20­24;14
2002;Kvinnor;25­29;17
2002;Kvinnor;30­34;19
2002;Kvinnor;35­39;20
2002;Kvinnor;40­44;27
2002;Kvinnor;45­49;27
2002;Kvinnor;50­54;31
2002;Kvinnor;55­59;35
2002;Kvinnor;60­64;34
2002;Kvinnor;65­69;15
2002;Kvinnor;70­74;18
2002;Kvinnor;75­79;18
2002;Kvinnor;80­84;15
2002;Kvinnor;85­89;13
2002;Kvinnor;90­94;3
2002;Kvinnor;95+;­­
2001;Män;0­4;­­
2001;Män;5­9;­­
2001;Män;10­14;2
2001;Män;15­19;15
2001;Män;20­24;44
2001;Män;25­29;43
2001;Män;30­34;61
2001;Män;35­39;79
2001;Män;40­44;70
2001;Män;45­49;71
2001;Män;50­54;91
2001;Män;55­59;64
2001;Män;60­64;62
2001;Män;65­69;58
2001;Män;70­74;44
2001;Män;75­79;51
2001;Män;80­84;36
2001;Män;85­89;34
2001;Män;90­94;8
2001;Män;95+;­­
2001;Kvinnor;0­4;­­
2001;Kvinnor;5­9;­­
2001;Kvinnor;10­14;3
2001;Kvinnor;15­19;7
2001;Kvinnor;20­24;11
2001;Kvinnor;25­29;13
2001;Kvinnor;30­34;16
2001;Kvinnor;35­39;19
2001;Kvinnor;40­44;29
2001;Kvinnor;45­49;43
2001;Kvinnor;50­54;44
2001;Kvinnor;55­59;49
2001;Kvinnor;60­64;30
2001;Kvinnor;65­69;13
2001;Kvinnor;70­74;24
2001;Kvinnor;75­79;22
2001;Kvinnor;80­84;23
2001;Kvinnor;85­89;14
2001;Kvinnor;90­94;2
2001;Kvinnor;95+;1
2000;Män;0­4;­­
2000;Män;5­9;­­
2000;Män;10­14;1
2000;Män;15­19;21
2000;Män;20­24;42
2000;Män;25­29;50
2000;Män;30­34;64
2000;Män;35­39;66
2000;Män;40­44;65
2000;Män;45­49;71
2000;Män;50­54;73
2000;Män;55­59;72
2000;Män;60­64;43
2000;Män;65­69;54
2000;Män;70­74;52
2000;Män;75­79;57
2000;Män;80­84;38
2000;Män;85­89;25
2000;Män;90­94;7
2000;Män;95+;1
2000;Kvinnor;0­4;­­
2000;Kvinnor;5­9;­­
2000;Kvinnor;10­14;1
2000;Kvinnor;15­19;16
2000;Kvinnor;20­24;10
2000;Kvinnor;25­29;16
2000;Kvinnor;30­34;14
2000;Kvinnor;35­39;33
2000;Kvinnor;40­44;29
2000;Kvinnor;45­49;28
2000;Kvinnor;50­54;33
2000;Kvinnor;55­59;37
2000;Kvinnor;60­64;22
2000;Kvinnor;65­69;20
2000;Kvinnor;70­74;20
2000;Kvinnor;75­79;18
2000;Kvinnor;80­84;14
2000;Kvinnor;85­89;13
2000;Kvinnor;90­94;4
2000;Kvinnor;95+;­­
1999;Män;0­4;­­
1999;Män;5­9;­­
1999;Män;10­14;3
1999;Män;15­19;29
1999;Män;20­24;49
1999;Män;25­29;44
1999;Män;30­34;59
1999;Män;35­39;75
1999;Män;40­44;75
1999;Män;45­49;76
1999;Män;50­54;91
1999;Män;55­59;75
1999;Män;60­64;58
